Region,Geog_Area,CV_Density_Cat,Site,Replicate,Sample_No,Site_No,Heather_Density,Measured_Heather_Category,Heather_Code,Plot,AMF,Code,Tube code,Subsample_weight,,,,,,,,,,,,,,,,,
Southern,B,M,5,2,P22,5,50,Medium,50,2,29.7,5-50-2,22,0.5388,,,,,,,,,,,,,,,,,
Southern,B,M,5,3,P23,5,60,Medium,50,3,22.7,5-50-3,23,0.5395,,,,,,,,,,,,,,,,,
Southern,B,M,5,4,P24,5,40,Medium,50,4,35.7,5-50-4,24,0.4603,,,,,,,,,,,,,,,,,
Southern,B,M,5,5,P25,5,50,Medium,50,5,30.3,5-50-5,25,0.545,,,,,,,,,,,,,,,,,
Southern,B,L,6,1,P26,6,0,Low,0,1,43,6-0-1,26,0.4935,,,,,,,,,,,,,,,,,
Southern,B,L,6,2,P27,6,0,Low,0,2,40,6-0-2,27,0.5097,,,,,,,,,,,,,,,,,
Southern,B,L,6,3,P28,6,0,Low,0,3,45,6-0-3,28,0.5031,,,,,,,,,,,,,,,,,
Southern,B,L,6,4,P29,6,0,Low,0,4,44.3,6-0-4,29,0.4742,,,,,,,,,,,,,,,,,
Southern,B,L,6,5,P30,6,0,Low,0,5,29,6-0-5,30,0.5412,,,,,,,,,,,,,,,,,
Northern,C,L,7,1,P31,7,0,Low,0,1,54.3,7-0-1,31,0.5403,,,,,,,,,,,,,,,,,
Northern,C,L,7,2,P32,7,0,Low,0,2,43,7-0-2,32,0.4527,,,,,,,,,,,,,,,,,
Northern,C,L,7,3,P33,7,0,Low,0,3,41.7,7-0-3,33,0.5333,,,,,,,,,,,,,,,,,
Northern,C,L,7,4,P34,7,0,Low,0,4,35.3,7-0-4,34,0.5158,,,,,,,,,,,,,,,,,
Northern,C,L,7,5,P35,7,0,Low,0,5,49.3,7-0-5,35,0.4991,,,,,,,,,,,,,,,,,
Northern,C,H,8,1,P36,8,60,Medium,100,1,27,8-100-1,36,0.4972,,,,,,,,,,,,,,,,,
Northern,C,H,8,2,P37,8,70,High,100,2,12.3,8-100-2,37,0.4827,,,,,,,,,,,,,,,,,
Northern,C,H,8,3,P38,8,60,Medium,100,3,25,8-100-3,38,0.4714,,,,,,,,,,,,,,,,,
Northern,C,H,8,4,P39,8,60,Medium,100,4,21.3,8-100-4,39,0.4684,,,,,,,,,,,,,,,,,
Northern,C,H,8,5,P40,8,50,Medium,100,5,27.7,8-100-5,40,0.5449,,,,,,,,,,,,,,,,,
Northern,C,M,9,1,P41,9,30,Medium,50,1,37.7,9-50-1,41,0.4606,,,,,,,,,,,,,,,,,
Northern,C,M,9,2,P42,9,25,Medium,50,2,25.7,9-50-2,42,0.4569,,,,,,,,,,,,,,,,,
Northern,C,M,9,3,P43,9,20,Medium,50,3,43,9-50-3,43,0.5413,,,,,,,,,,,,,,,,,
Northern,C,M,9,4,P44,9,40,Medium,50,4,20,9-50-4,44,0.4935,,,,,,,,,,,,,,,,,
Northern,C,M,9,5,P45,9,60,Medium,50,5,31.7,9-50-5,45,0.5016,,,,,,,,,,,,,,,,,
Central,D,H,10,1,P46,10,70,High,100,1,17.7,10-100-1,46,0.5204,,,,,,,,,,,,,,,,,
Central,D,H,10,2,P47,10,60,Medium,100,2,9.3,10-100-2,47,0.526,,,,,,,,,,,,,,,,,
Central,D,H,10,3,P48,10,70,High,100,3,18.7,10-100-3,48,0.475,,,,,,,,,,,,,,,,,
Central,D,H,10,4,P49,10,90,High,100,4,26.7,10-100-4,49,0.5048,,,,,,,,,,,,,,,,,
Central,D,H,10,5,P50,10,90,High,100,5,26,10-100-5,50,0.4566,,,,,,,,,,,,,,,,,
Central,D,L,11,1,P51,11,0,Low,0,1,46.3,11-0-1,51,0.5075,,,,,,,,,,,,,,,,,
Central,D,L,11,2,P52,11,0,Low,0,2,39.6,11-0-2,52,0.5242,,,,,,,,,,,,,,,,,
Central,D,L,11,3,P53,11,0,Low,0,3,30,11-0-3,53,0.5182,,,,,,,,,,,,,,,,,
Central,D,L,11,4,P54,11,0,Low,0,4,60.3,11-0-4,54,0.517,,,,,,,,,,,,,,,,,
