Region,Area,CV_Density_Cat,Site,Replicate,Unique_Code,Plot,Olsen_P,Carbon,Nitrogen,CN,Heather_Density,Measured_Heather_Category,Fungal_Colonisation
Central,D,H,10,4,10-100-4,49,4,4.1,0.16,26,90,High,26.7
Central,D,H,10,5,10-100-5,50,4,4.1,0.16,26,90,High,26
Central,D,L,11,1,11-0-1,51,3,6.4,0.16,40,0,Low,46.3
Central,D,L,11,2,11-0-2,52,3,6.4,0.16,40,0,Low,39.6
Central,D,L,11,3,11-0-3,53,3,6.4,0.16,40,0,Low,30
Central,D,L,11,4,11-0-4,54,3,6.4,0.16,40,0,Low,60.3
Central,D,L,11,5,11-0-5,55,3,6.4,0.16,40,0,Low,32.3
Central,D,M,12,1,12-50-1,56,5,7,0.25,28,50,Medium,20
Central,D,M,12,2,12-50-2,57,5,7,0.25,28,40,Medium,30.3
Central,D,M,12,3,12-50-3,58,5,7,0.25,28,50,Medium,37.6
Central,D,M,12,4,12-50-4,59,5,7,0.25,28,80,High,29
Central,D,M,12,5,12-50-5,60,5,7,0.25,28,60,Medium,25
Central,E,M,13,1,13-50-1,61,5,2.8,0.12,23,40,Medium,20.3
Central,E,M,13,2,13-50-2,62,5,2.8,0.12,23,30,Medium,25
Central,E,M,13,3,13-50-3,63,5,2.8,0.12,23,15,Medium,20.3
Central,E,M,13,4,13-50-4,64,5,2.8,0.12,23,20,Medium,19.3
Central,E,M,13,5,13-50-5,65,5,2.8,0.12,23,50,Medium,18.3
Central,E,H,14,1,14-100-1,66,3,8.6,0.19,45,60,Medium,32
Central,E,H,14,2,14-100-2,67,3,8.6,0.19,45,80,High,13
Central,E,H,14,3,14-100-3,68,3,8.6,0.19,45,70,High,14.3
Central,E,H,14,4,14-100-4,69,3,8.6,0.19,45,40,Medium,22.7
Central,E,H,14,5,14-100-5,70,3,8.6,0.19,45,70,High,22.7
Central,E,L,15,1,15-0-1,71,2,1.1,0.06,18,0,Low,43
Central,E,L,15,2,15-0-2,72,2,1.1,0.06,18,0,Low,49.6
Central,E,L,15,3,15-0-3,73,2,1.1,0.06,18,0,Low,43.6
Central,E,L,15,4,15-0-4,74,2,1.1,0.06,18,0,Low,43
Central,E,L,15,5,15-0-5,75,2,1.1,0.06,18,0,Low,34.7
