Sample_No,Site_No,Heather_Density,Heather_Category,Heather_Code,Plot,AMF,Code,Tube code,Subsample_weight,,,,,,,,,,,,,,,,,,,
N30,6,0,Low,0,5,29,6-0-5,30,0.5167,,,,,,,,,,,,,,,,,,,
N31,7,0,Low,0,1,54.3,7-0-1,31,0.5063,,,,,,,,,,,,,,,,,,,
N32,7,0,Low,0,2,43,7-0-2,32,0.4802,,,,,,,,,,,,,,,,,,,
N33,7,0,Low,0,3,41.7,7-0-3,33,0.4977,,,,,,,,,,,,,,,,,,,
N34,7,0,Low,0,4,35.3,7-0-4,34,0.4871,,,,,,,,,,,,,,,,,,,
N35,7,0,Low,0,5,49.3,7-0-5,35,0.5058,,,,,,,,,,,,,,,,,,,
N36,8,60,Medium,100,1,27,8-100-1,36,0.5077,,,,,,,,,,,,,,,,,,,
N37,8,70,High,100,2,12.3,8-100-2,37,0.5262,,,,,,,,,,,,,,,,,,,
N38,8,60,Medium,100,3,25,8-100-3,38,0.4715,,,,,,,,,,,,,,,,,,,
N39,8,60,Medium,100,4,21.3,8-100-4,39,0.4649,,,,,,,,,,,,,,,,,,,
N40,8,50,Medium,100,5,27.7,8-100-5,40,0.5094,,,,,,,,,,,,,,,,,,,
N41,9,30,Medium,50,1,37.7,9-50-1,41,0.5107,,,,,,,,,,,,,,,,,,,
N42,9,25,Medium,50,2,25.7,9-50-2,42,0.4579,,,,,,,,,,,,,,,,,,,
N43,9,20,Medium,50,3,43,9-50-3,43,0.5296,,,,,,,,,,,,,,,,,,,
N44,9,40,Medium,50,4,20,9-50-4,44,0.4636,,,,,,,,,,,,,,,,,,,
N45,9,60,Medium,50,5,31.7,9-50-5,45,0.4819,,,,,,,,,,,,,,,,,,,
N46,10,70,High,100,1,17.7,10-100-1,46,0.4761,,,,,,,,,,,,,,,,,,,
N47,10,60,Medium,100,2,9.3,10-100-2,47,0.4998,,,,,,,,,,,,,,,,,,,
N48,10,70,High,100,3,18.7,10-100-3,48,0.5016,,,,,,,,,,,,,,,,,,,
N49,10,90,High,100,4,26.7,10-100-4,49,0.4999,,,,,,,,,,,,,,,,,,,
N50,10,90,High,100,5,26,10-100-5,50,0.5016,,,,,,,,,,,,,,,,,,,
N51,11,0,Low,0,1,46.3,11-0-1,51,0.5346,,,,,,,,,,,,,,,,,,,
N52,11,0,Low,0,2,39.6,11-0-2,52,0.4796,,,,,,,,,,,,,,,,,,,
N53,11,0,Low,0,3,30,11-0-3,53,0.5097,,,,,,,,,,,,,,,,,,,
N54,11,0,Low,0,4,60.3,11-0-4,54,0.5484,,,,,,,,,,,,,,,,,,,
N55,11,0,Low,0,5,32.3,11-0-5,55,0.5399,,,,,,,,,,,,,,,,,,,
N56,12,50,Medium,50,1,20,12-50-1,56,0.5243,,,,,,,,,,,,,,,,,,,
N57,12,40,Medium,50,2,30.3,12-50-2,57,0.4997,,,,,,,,,,,,,,,,,,,
N58,12,50,Medium,50,3,37.6,12-50-3,58,0.5032,,,,,,,,,,,,,,,,,,,
N59,12,80,High,50,4,29,12-50-4,59,0.4692,,,,,,,,,,,,,,,,,,,
N60,12,60,Medium,50,5,25,12-50-5,60,0.5323,,,,,,,,,,,,,,,,,,,
N61,13,40,Medium,50,1,20.3,13-50-1,61,0.4744,,,,,,,,,,,,,,,,,,,
N62,13,30,Medium,50,2,25,13-50-2,62,0.4944,,,,,,,,,,,,,,,,,,,
N63,13,15,Medium,50,3,20.3,13-50-3,63,0.4525,,,,,,,,,,,,,,,,,,,
N64,13,20,Medium,50,4,19.3,13-50-4,64,0.4799,,,,,,,,,,,,,,,,,,,
N65,13,50,Medium,50,5,18.3,13-50-5,65,0.4897,,,,,,,,,,,,,,,,,,,
N66,14,60,Medium,100,1,32,14-100-1,66,0.5378,,,,,,,,,,,,,,,,,,,
N67,14,80,High,100,2,13,14-100-2,67,0.528,,,,,,,,,,,,,,,,,,,
N68,14,70,High,100,3,14.3,14-100-3,68,0.5027,,,,,,,,,,,,,,,,,,,
N69,14,40,Medium,100,4,22.7,14-100-4,69,0.5226,,,,,,,,,,,,,,,,,,,
N70,14,70,High,100,5,22.7,14-100-5,70,0.5405,,,,,,,,,,,,,,,,,,,
N71,15,0,Low,0,1,43,15-0-1,71,0.5296,,,,,,,,,,,,,,,,,,,
N72,15,0,Low,0,2,49.6,15-0-2,72,0.5367,,,,,,,,,,,,,,,,,,,
N73,15,0,Low,0,3,43.6,15-0-3,73,0.4975,,,,,,,,,,,,,,,,,,,
N74,15,0,Low,0,4,43,15-0-4,74,0.525,,,,,,,,,,,,,,,,,,,
N75,15,0,Low,0,5,34.7,15-0-5,75,0.5196,,,,,,,,,,,,,,,,,,,
